ciudad,cluster,tamano,palabras_clave,temas
GUADALAJARA_CORPUS_LIMPIO,0,580,"guadalajara, ciudad, centro, lugar, visit","guadalajara, ciudad, centro, lugar, visit, arte, conocer, visitar, zona, calle"
GUADALAJARA_CORPUS_LIMPIO,1,573,"guadalajara, jalisco, mexico, foto, tien","guadalajara, jalisco, mexico, foto, tien, esque, gdl, visit, amazing, gan"
GUADALAJARA_CORPUS_LIMPIO,2,449,"guadalajara, foto, disfrutar, lugar, tequila","guadalajara, foto, disfrutar, lugar, tequila, visit, delicioso, ciudad, dejar, sabor"
GUADALAJARA_CORPUS_LIMPIO,3,475,"guadalajara, ciudad, lugar, disfrutar, visit","guadalajara, ciudad, lugar, disfrutar, visit, ver, vivir, descubrir, visita, visitar"
GUADALAJARA_CORPUS_LIMPIO,4,121,"él, guadalajara, lugar, ver, conocer","él, guadalajara, lugar, ver, conocer, ciudad, visitar, foto, venir, centro"
