ciudad,cluster,tamano,palabras_clave,temas
GUADALAJARA_DESC_TRADUCIDO_LIMPIO,0,145,"the, with, and, background, city","the, with, and, background, city, mexico, art, architecture, large, church"
GUADALAJARA_DESC_TRADUCIDO_LIMPIO,1,264,"comida, mesa, plato, alimento, fotografia","comida, mesa, plato, alimento, fotografia, foto, tazon, estilo, restaurante, madera"
GUADALAJARA_DESC_TRADUCIDO_LIMPIO,2,323,"ciudad, mexico, centro, guanajuato, antiguo","ciudad, mexico, centro, guanajuato, antiguo, rico, historia, fondo, catedral, edificio"
GUADALAJARA_DESC_TRADUCIDO_LIMPIO,3,382,"fondo, luz, ciudad, color, hermoso","fondo, luz, ciudad, color, hermoso, iluminacion, fotografia, mexico, foto, cielo"
GUADALAJARA_DESC_TRADUCIDO_LIMPIO,4,382,"inspirado, arte, foto, fondo, mujer","inspirado, arte, foto, fondo, mujer, ciudad, mexico, mexicano, imagen, hombre"
