archivo,filas_totales,palabras_corpus_prompts,palabras_corpus_descripciones,top_ngrams_solicitados,ngrams_utilizados,jaccard_distance,jaccard_similarity,cosine_similarity,coverage_prompts,coverage_descripciones,ngrams_comunes,ngrams_unicos_prompts,ngrams_unicos_descripciones,top_10_ngrams
ACAPULCO_clean.csv,500,15566,8094,10,10,0.5,0.5,0.707107,1.0,0.5,5,1000,1000,comida | puesta | piscina | pie | noche | drones | mesa | colores | jungla | acantilado
ACAPULCO_clean.csv,500,15566,8094,20,20,0.35,0.65,0.797081,0.95,0.7,13,1000,1000,comida | puesta | piscina | pie | noche | drones | mesa | colores | jungla | acantilado
ACAPULCO_clean.csv,500,15566,8094,30,30,0.4,0.6,0.760639,0.9333,0.6667,18,1000,1000,comida | puesta | piscina | pie | noche | drones | mesa | colores | jungla | acantilado
ACAPULCO_clean.csv,500,15566,8094,40,40,0.375,0.625,0.773731,0.9,0.725,25,1000,1000,comida | puesta | piscina | pie | noche | drones | mesa | colores | jungla | acantilado
ACAPULCO_clean.csv,500,15566,8094,50,50,0.46,0.54,0.702782,0.82,0.72,27,1000,1000,comida | puesta | piscina | pie | noche | drones | mesa | colores | jungla | acantilado
CANCUN_clean.csv,144,4872,4511,10,10,0.1,0.9,0.948683,1.0,0.9,9,1000,1000,piscina | viento | ruinas | isla | colores | dia | neon | iluminacion | vista | sol
CANCUN_clean.csv,144,4872,4511,20,20,0.2,0.8,0.894427,1.0,0.8,16,1000,1000,piscina | viento | ruinas | isla | colores | dia | neon | iluminacion | vista | sol
CANCUN_clean.csv,144,4872,4511,30,30,0.266667,0.733333,0.851843,0.9667,0.7667,22,1000,1000,piscina | viento | ruinas | isla | colores | dia | neon | iluminacion | vista | sol
CANCUN_clean.csv,144,4872,4511,40,40,0.3,0.7,0.829288,0.95,0.75,28,1000,1000,piscina | viento | ruinas | isla | colores | dia | neon | iluminacion | vista | sol
CANCUN_clean.csv,144,4872,4511,50,50,0.32,0.68,0.815322,0.94,0.74,34,1000,1000,piscina | viento | ruinas | isla | colores | dia | neon | iluminacion | vista | sol
